name,scenario,2030,2035,2040,2050
# AL00_battery,DistributedEnergy,179.4084,223.7409,268.0734,237.3919
# AL00_battery,GlobalAmbition,100.2578,104.8171,109.3763,128.6509
# AL00_gas,DistributedEnergy,300.0,300.0,300.0,300.0
# AL00_gas,GlobalAmbition,300.0,300.0,300.0,300.0
AT00_battery,DistributedEnergy,4289.9625,6643.8317,8997.7008,14935.8467
AT00_battery,GlobalAmbition,3062.8771,5065.364,7067.8509,9042.4062
AT00_biomass,DistributedEnergy,585.92,585.92,585.92,585.92
AT00_biomass,GlobalAmbition,585.92,585.92,585.92,585.92
AT00_dsr,DistributedEnergy,500.0,1250.0,2000.0,2260.0
AT00_dsr,GlobalAmbition,500.0,1250.0,2000.0,2000.0
AT00_gas,DistributedEnergy,4123.102,3716.051,3309.0,3309.0
AT00_gas,GlobalAmbition,4123.102,2540.051,957.0,957.0
AT00_oil,DistributedEnergy,163.606,81.803,,
AT00_oil,GlobalAmbition,163.606,81.803,,
# BA00_battery,DistributedEnergy,245.0935,211.9046,178.7156,158.2613
# BA00_battery,GlobalAmbition,66.8385,69.878,72.9176,85.7672
# BA00_hardcoal,DistributedEnergy,1918.0,959.0,,
# BA00_hardcoal,GlobalAmbition,1303.0,651.5,,
BE00_battery,DistributedEnergy,4254.2954,6588.5943,8922.8931,10889.7155
BE00_battery,GlobalAmbition,2842.6405,3358.3441,3874.0477,4958.2832
BE00_biomass,DistributedEnergy,903.6,903.6,903.6,903.6
BE00_biomass,GlobalAmbition,903.6,903.6,903.6,903.6
BE00_dsr,DistributedEnergy,2047.8045,2119.4777,2191.1509,2476.0005
BE00_dsr,GlobalAmbition,2047.8045,2119.4777,2191.1509,2191.1509
BE00_gas,DistributedEnergy,9843.8436,16064.1727,22284.5017,38438.7307
BE00_gas,GlobalAmbition,9843.8436,9733.1726,9622.5017,8792.2017
BE00_oil,DistributedEnergy,158.0,158.0,158.0,140.0
BE00_oil,GlobalAmbition,158.0,158.0,158.0,140.0
# BG00_battery,DistributedEnergy,1218.6268,1723.1165,2227.6063,2440.5105
# BG00_battery,GlobalAmbition,859.3407,863.7797,868.2186,1111.2083
# BG00_biomass,DistributedEnergy,302.0,305.5,309.0,309.0
# BG00_biomass,GlobalAmbition,302.0,305.5,309.0,309.0
# BG00_gas,DistributedEnergy,2025.0,4265.0,6505.0,6283.0
# BG00_gas,GlobalAmbition,2025.0,1969.0,1913.0,1691.0
# BG00_hardcoal,DistributedEnergy,2519.0,1259.5,,
# BG00_hardcoal,GlobalAmbition,2519.0,1259.5,,
# BG00_nuclear,DistributedEnergy,1960.0,980.0,,
# BG00_nuclear,GlobalAmbition,1960.0,2960.0,3960.0,2000.0
# CY00_battery,DistributedEnergy,210.9721,279.5485,348.1248,501.2541
# CY00_battery,GlobalAmbition,144.7148,180.1144,215.5141,278.2788
# CY00_biomass,DistributedEnergy,15.0,15.0,15.0,15.0
# CY00_biomass,GlobalAmbition,15.0,15.0,15.0,15.0
# CY00_dsr,DistributedEnergy,50.0,50.0,50.0,56.5
# CY00_dsr,GlobalAmbition,50.0,50.0,50.0,50.0
# CY00_gas,DistributedEnergy,1210.0,1210.0,1210.0,380.0
# CY00_gas,GlobalAmbition,1210.0,1210.0,1210.0,380.0
# CY00_oil,DistributedEnergy,287.7,143.85,,
