index,node,market,plant_type,tech,upperwn,lowerwn,eta,eta_pump,n_redispatch,gen_max_limit,energy_max_limit,fuel_switching
CH01_pvrf,CH01,CH00,RES,pvrf,,,,,CH01,10000.0,inf,
CH01_windon,CH01,CH00,RES,windon,,,,,CH01,600.0,inf,
CH02_pvrf,CH02,CH00,RES,pvrf,,,,,CH02,10000.0,inf,
CH02_windon,CH02,CH00,RES,windon,,,,,CH02,600.0,inf,
CH03_pvrf,CH03,CH00,RES,pvrf,,,,,CH03,10000.0,inf,
CH03_windon,CH03,CH00,RES,windon,,,,,CH03,600.0,inf,
CH04_pvrf,CH04,CH00,RES,pvrf,,,,,CH04,10000.0,inf,
CH04_windon,CH04,CH00,RES,windon,,,,,CH04,600.0,inf,
CH05_pvrf,CH05,CH00,RES,pvrf,,,,,CH05,10000.0,inf,
CH05_windon,CH05,CH00,RES,windon,,,,,CH05,600.0,inf,
CH06_pvrf,CH06,CH00,RES,pvrf,,,,,CH06,10000.0,inf,
CH06_windon,CH06,CH00,RES,windon,,,,,CH06,600.0,inf,
CH07_pvrf,CH07,CH00,RES,pvrf,,,,,CH07,10000.0,inf,
CH07_windon,CH07,CH00,RES,windon,,,,,CH07,600.0,inf,
CH00_CCGTresmethane,CH01,CH00,cap_op_energy,CCGTresmethane,,,,,CH01,7000.0,9422222.222,
CH00_SCGTresmethane,CH01,CH00,cap_op_energy,SCGTresmethane,,,,,CH01,7000.0,6222222.222,
CH00_CCGTCCS,CH01,CH00,cap_op_energy,CCGTCCS,,,,,CH01,7000.0,16920000.0,
CH00_SCGTfossil,CH01,CH00,cap_op_energy,SCGTfossil,,,,,CH01,7000.0,12600000.0,
CH00_battery,CH01,CH00,cap_op_energy,battery,,,,,CH01,100000.0,inf,
CH00_hydrogen,CH01,CH00,cap_op_energy,hydrogen,,,,,CH01,10000.0,inf,
CH00_oil,CH01,CH00,cap_op_energy,oil,,,,,CH01,7000.0,inf,
CH00_nuclear,CH01,CH00,cap_op,nuclear,,,,,CH01,10000.0,inf,
DE00_newCCGTCCS,DE00,DE00,cap_op,CCGTCCS,,,,,DE00,inf,inf,
IT00_newCCGTCCS,IT00,IT00,cap_op,CCGTCCS,,,,,IT00,inf,inf,
FR00_newCCGTCCS,FR00,FR00,cap_op,CCGTCCS,,,,,FR00,inf,inf,
AT00_newCCGTCCS,AT00,AT00,cap_op,CCGTCCS,,,,,AT00,inf,inf,
DE01_pvrf,DE00,DE00,RES,pvrf,,,,,DE00,20000.0,inf,
DE01_windon,DE00,DE00,RES,windon,,,,,DE00,20000.0,inf,
IT01_pvrf,IT00,IT00,RES,pvrf,,,,,IT00,20000.0,inf,
IT01_windon,IT00,IT00,RES,windon,,,,,IT00,20000.0,inf,
FR01_pvrf,FR00,FR00,RES,pvrf,,,,,FR00,20000.0,inf,
FR01_windon,FR00,FR00,RES,windon,,,,,FR00,20000.0,inf,
AT01_pvrf,AT00,AT00,RES,pvrf,,,,,AT00,20000.0,inf,
AT01_windon,AT00,AT00,RES,windon,,,,,AT00,20000.0,inf,
