time_step,DE00,AT00,FR00,IT00
t_1,51.865,51.865,51.865,51.865
t_10,50.2478,50.2478,50.2478,50.2478
t_100,51.865,51.865,51.865,51.865
t_1000,51.865,51.865,51.865,51.865
t_1001,53.6927,53.6927,53.6927,53.6927
t_1002,53.6927,53.6927,53.6927,53.6927
t_1003,53.6927,53.6927,53.6927,53.6927
t_1004,53.6927,53.6927,53.6927,53.6927
t_1005,51.865,51.865,51.865,51.865
t_1006,51.865,51.865,51.865,51.865
t_1007,51.865,51.865,51.865,51.865
t_1008,51.865,51.865,51.865,51.865
t_1009,51.865,51.865,51.865,51.865
t_101,51.865,51.865,51.865,51.865
t_1010,51.865,51.865,51.865,51.865
t_1011,51.865,51.865,51.865,51.865
t_1012,42.0098,42.0098,42.0098,42.0098
t_1013,42.0098,42.0098,42.0098,42.0098
t_1014,51.865,51.865,51.865,51.865
t_1015,51.865,51.865,51.865,51.865
t_1016,51.865,51.865,51.865,51.865
t_1017,51.865,51.865,51.865,51.865
t_1018,42.0098,42.0098,42.0098,42.0098
t_1019,42.0098,42.0098,42.0098,42.0098
t_102,51.865,51.865,51.865,51.865
t_1020,42.0098,42.0098,42.0098,42.0098
t_1021,42.0098,42.0098,42.0098,42.0098
t_1022,42.0098,42.0098,42.0098,42.0098
t_1023,42.0098,42.0098,42.0098,42.0098
t_1024,51.865,51.865,51.865,51.865
t_1025,51.865,51.865,51.865,51.865
t_1026,51.865,51.865,51.865,51.865
t_1027,51.865,51.865,51.865,51.865
t_1028,51.865,51.865,51.865,51.865
t_1029,51.865,51.865,51.865,51.865
t_103,60.2106,60.2106,60.2106,60.2106
t_1030,51.865,51.865,51.865,51.865
t_1031,51.865,51.865,51.865,51.865
t_1032,51.865,51.865,51.865,51.865
t_1033,51.865,51.865,51.865,51.865
t_1034,51.865,51.865,51.865,51.865
t_1035,51.865,51.865,51.865,51.865
t_1036,51.865,51.865,51.865,51.865
t_1037,51.865,51.865,51.865,51.865
t_1038,51.865,51.865,51.865,51.865
t_1039,51.865,51.865,51.865,51.865
t_104,64.0319,64.0319,64.0319,64.0319
t_1040,51.865,51.865,51.865,51.865
t_1041,39.3052,39.3052,39.3052,39.3052
t_1042,0.0,0.0,0.0,0.0
t_1043,0.0,0.0,0.0,0.0
t_1044,0.0,0.0,0.0,0.0
t_1045,0.0,0.0,0.0,0.0
t_1046,0.0,0.0,0.0,0.0
t_1047,0.0,0.0,0.0,0.0
t_1048,51.865,51.865,51.865,51.865
t_1049,51.865,51.865,51.865,51.865
t_105,51.865,51.865,51.865,51.865
t_1050,51.865,51.865,51.865,51.865
t_1051,51.865,51.865,51.865,51.865
t_1052,51.865,51.865,51.865,51.865
t_1053,51.865,51.865,51.865,51.865
t_1054,51.865,51.865,51.865,51.865
t_1055,51.865,51.865,51.865,51.865
t_1056,51.865,51.865,51.865,51.865
t_1057,51.865,51.865,51.865,51.865
t_1058,51.865,51.865,51.865,51.865
t_1059,51.865,51.865,51.865,51.865
t_106,51.865,51.865,51.865,51.865
t_1060,51.865,51.865,51.865,51.865
t_1061,51.865,51.865,51.865,51.865
t_1062,51.865,51.865,51.865,51.865
t_1063,51.865,51.865,51.865,51.865
t_1064,51.865,51.865,51.865,51.865
t_1065,51.865,51.865,51.865,51.865
t_1066,51.865,51.865,51.865,51.865
t_1067,51.865,51.865,51.865,51.865
t_1068,51.865,51.865,51.865,51.865
t_1069,51.865,51.865,51.865,51.865
t_107,51.865,51.865,51.865,51.865
t_1070,51.865,51.865,51.865,51.865
t_1071,51.865,51.865,51.865,51.865
t_1072,51.865,51.865,51.865,51.865
t_1073,51.865,51.865,51.865,51.865
t_1074,51.865,51.865,51.865,51.865
t_1075,51.865,51.865,51.865,51.865
t_1076,51.865,51.865,51.865,51.865
t_1077,51.865,51.865,51.865,51.865
t_1078,51.865,51.865,51.865,51.865
t_1079,51.865,51.865,51.865,51.865
t_108,51.865,51.865,51.865,51.865
t_1080,51.865,51.865,51.865,51.865
t_1081,51.865,51.865,51.865,51.865
t_1082,51.865,51.865,51.865,51.865
t_1083,51.865,51.865,51.865,51.865
t_1084,51.865,51.865,51.865,51.865
t_1085,51.865,51.865,51.865,51.865
t_1086,51.865,51.865,51.865,51.865
t_1087,51.865,51.865,51.865,51.865
t_1088,51.865,51.865,51.865,51.865
t_1089,51.865,51.865,51.865,51.865
t_109,51.865,51.865,51.865,51.865
t_1090,42.0098,42.0098,42.0098,42.0098
t_1091,42.0098,42.0098,42.0098,42.0098
t_1092,9.0,9.0,9.0,9.0
t_1093,9.0,9.0,9.0,9.0
t_1094,39.3052,39.3052,39.3052,39.3052
t_1095,42.0098,42.0098,42.0098,42.0098
t_1096,51.865,51.865,51.865,51.865
t_1097,51.865,51.865,51.865,51.865
t_1098,51.865,51.865,51.865,51.865
t_1099,51.865,51.865,51.865,51.865
t_11,50.2478,50.2478,50.2478,50.2478
t_110,51.865,51.865,51.865,51.865
t_1100,51.865,51.865,51.865,51.865
t_1101,51.865,51.865,51.865,51.865
t_1102,51.865,51.865,51.865,51.865
t_1103,51.865,51.865,51.865,51.865
t_1104,51.865,51.865,51.865,51.865
t_1105,51.865,51.865,51.865,51.865
t_1106,50.2478,50.2478,50.2478,50.2478
t_1107,50.2478,50.2478,50.2478,50.2478
t_1108,50.2478,50.2478,50.2478,50.2478
t_1109,50.2478,50.2478,50.2478,50.2478
t_111,51.865,51.865,51.865,51.865
t_1110,51.865,51.865,51.865,51.865
t_1111,51.865,51.865,51.865,51.865
t_1112,51.865,51.865,51.865,51.865
t_1113,51.865,51.865,51.865,51.865
t_1114,51.865,51.865,51.865,51.865
t_1115,51.865,51.865,51.865,51.865
t_1116,51.865,51.865,51.865,51.865
t_1117,51.865,51.865,51.865,51.865
t_1118,48.465,48.465,48.465,48.465
t_1119,48.465,48.465,48.465,48.465
t_112,60.1494,60.1494,60.1494,60.1494
t_1120,50.2478,50.2478,50.2478,50.2478
t_1121,51.865,51.865,51.865,51.865
t_1122,51.865,51.865,51.865,51.865
t_1123,51.865,51.865,51.865,51.865
t_1124,51.865,51.865,51.865,51.865
t_1125,51.865,51.865,51.865,51.865
t_1126,51.865,51.865,51.865,51.865
t_1127,51.865,51.865,51.865,51.865
t_1128,51.865,51.865,51.865,51.865
t_1129,9.0,9.0,9.0,9.0
t_113,68.5239,68.5239,68.5239,68.5239
t_1130,9.0,9.0,9.0,9.0
t_1131,9.0,9.0,9.0,9.0
t_1132,11.1121,11.1121,11.1121,11.1121
t_1133,9.0,9.0,9.0,9.0
t_1134,9.0,9.0,9.0,9.0
t_1135,0.0,0.0,0.0,0.0
t_1136,0.0,0.0,0.0,0.0
t_1137,0.0,0.0,0.0,0.0
t_1138,0.0,0.0,0.0,0.0
t_1139,0.0,0.0,0.0,0.0
t_114,68.5239,68.5239,68.5239,68.5239
t_1140,0.0,0.0,0.0,0.0
t_1141,0.0,0.0,0.0,0.0
t_1142,0.0,0.0,0.0,0.0
t_1143,0.0,0.0,0.0,0.0
t_1144,0.0,0.0,0.0,0.0
t_1145,9.0,9.0,9.0,9.0
